key,nome,nomeunita1,daprof,aprof,litologia,etarel,a
1000714,144BIS,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,234.0,CONGLOMERATO-ARGILLA,NEOGENE,
4846025,145m.sabatini,VULCANITI,0.0,299.0,PIROCLASTITI E LAVE,QUATERNARIO,
5535009,152 PROFONDO,FLYSCH CALCAREO MARNOSO,0.0,350.0,"CALCARI,ARGILLITI E CALCARENITI",CRETACEO SUP.,
5535006,154/SV 10,LIGURIDI S.L.,0.0,690.0,ARGILLITI E CALCARI MARNOSI,EOCENE SUP.,CRETACEO INF.
5142022,166 BIS,VULCANITI,0.0,378.5,PIROCLASTITI E LAVE,QUATERNARIO,
1009140,26BIS,LIGURIDI S.L.,0.0,235.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
342572,324 MINIERA DI CAMPIANO,,0.0,597.95,FLYSCH LIGURE,,
5142023,78latera,VULCANITI,0.0,133.0,PIROCLASTITI E LAVE,QUATERNARIO,
460446,94BIS,LIGURIDI S.L.,0.0,110.0,ARGILLITE-CALCARE-ARENARIA,CRETACEO-INF,
5043006,A 6,VULCANITI,0.0,128.0,LAVE E PIROCLASTITI,QUATERNARIO,
5341002,AB D 3,,0.0,70.0,TRACHITE,,
5341021,AB D 40,,0.0,62.0,VULCANITI,,
3618001,ABBASANTA,,0.0,80.0,BASALTI COMPATTI CON INTERCALZIONI,,
1762001,ACATE 1,,0.0,850.0,ARGILLE LEGGERMENTE SABBIOSE,QUATERNARIO,PLIOCENE
4846004,ACEA,,0.0,90.0,TUFI RIMANEGGIATI E TUFITI,QUATERNARIO,
4647003,ACQUA LAURENTINA,,0.0,10.0,POMICI BIANCASTRE E TUFO,,
492987,ACQUABONA 1,LIGURIDI S.L.,0.0,455.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
189786,ACQUABONA 2,LIGURIDI S.L.,0.0,431.0,ARGILLITE-CALCARE MARNOSO/SILICEO,CRETACEO,TRIASSICO
1000621,ACQUABONA 3,LIGURIDI S.L.,0.0,459.0,ARGILLITE-CALCARE MARNOSO-CALCARE SILICEO,CRETACEO,EOCENE
315732,ADA 2 DIR,,0.0,306.0,,,
679405,ADARBIA,ARGILLOSO-CALCAREA F.L.,0.0,170.0,CALCARE-ARENARIA CEM. CARB.-ARGILLITE,PALEOCENE,EOCENE
2166001,ADRANO 1,,0.0,2962.0,"MARNE, ARGILLE, SABBIE, ARENARIE E",,
65876,ADRIANA 1,,0.0,346.0,,,
6824004,AGNADELLO 1,DEPOSITI ALLUVIONALI,0.0,195.15,"GHIAIE,CIOTTOLI E SABBIE",OLOCENE,
718987,AGNESE 1,,0.0,3490.0,ARGILLE E SABBIE,,
337762,AGOSTINO 26 X,,0.0,318.0,,,
659177,AGOSTINO 29 DIR,,0.0,2500.0,,,
169736,AGOSTINO 39 DIR,,0.0,2400.0,ARGILLE,,
1956001,AGRIGENTO 1,,0.0,1482.0,"MARNE, ARGILLE, CALCARI E CIOTTOLI",,
1007258,AIADEISERPI,LIGURIDI S.L.,0.0,353.0,ARGILLITE-CALCARE-CALCARE MARNOSO,CRETACEO,EOCENE
1006870,ALBA 1,,0.0,1703.0,SABBIE E ARGILLE,QUATERNARIO,
6435001,ALBARETO 1,,0.0,1703.7,SABBIE E ARGILLE CON CIOTTOLI,QUATERNARIO,
6435002,ALBARETO 2,,0.0,1804.7,SABBIE E ARGILLE CON CIOTTOLI,QUATERNARIO,
6332002,ALBINEA 1,,0.0,496.25,"ARGILLE,SABBIE E CIOTTOLI",QUATERNARIO,
760780,ALESSIA 1DIR,,0.0,314.0,,,
6729002,ALFIANELLO 1,,0.0,1665.85,SABBIE E ARGILLE,QUATERNARIO,
6729001,ALFIANELLO 2,ALLUVIONI,0.0,371.2,,,
5243003,ALFINA 13,S. FIORA F.L.,0.0,515.0,"ARGILLITI, CALCARI E CALCARENITI",BARRESIANO,
123685,ALFINA 15,,0.0,2245.0,"ARG.,CALC.,AREN.,MARNE.,RADIOL.,CAL",QUATERNARIO,RETICO
5243005,ALFINA 1BIS,VULCANITI ALCALINO POTASSICHE,0.0,27.0,LAVE E SCORIE VULCANICHE,QUATERNARIO,
5243007,ALFINA 2,VULCANITI ALCALINO POTASSICHE,0.0,92.0,TUFI E LAVE,QUATERNARIO,
5243002,ALFINA 5,CALCARI A PALOMBINI F.L.,0.0,141.3,ARGILLITI E CALCARI,CRETACEO,
5243004,ALFINA 7,CALCARI A PALOMBINI F.L.,0.0,144.0,ARGILLITI E CALCARI,CRETACEO,
6344008,ALFONSINE 1,,0.0,1279.9,"SABBIE,ARGILLE E CIOTTOLI",QUATERNARIO,
6343004,ALFONSINE 14,,0.0,1292.95,"SABBIE,ARGILLE E CIOTTOLI",QUATERNARIO,
6343005,ALFONSINE 19,,0.0,1641.45,"SABBIE,ARGILLE E CIOTTOLI",QUATERNARIO,
6343006,ALFONSINE 21,,0.0,1368.4,"SABBIE,ARGILLE E CIOTTOLI",QUATERNARIO,
6344009,ALFONSINE 3,,0.0,1544.3,SABBIE ED ARGILLE,QUATERNARIO,
6344010,ALFONSINE 31,,0.0,1731.6,SABBIE E ARGILLE,QUATERNARIO,
1000740,ALICE 1,,0.0,1710.0,ARGILLE CON SABBIE E CIOTTOLI,QUATERNARIO,
1003974,ALLORO,LIGURIDI S.L.,0.0,344.6,ARGILLITE-CALCARE,CRETACEO,EOCENE
4843003,ALLUMIERE 1,GR. FOR. FLYSCH DELLA TOLFA F.L.,0.0,330.0,"CALCARI MARNOSI, CALCARI E CALCARI SILICEI",CRETACEO SUP.,
596626,ALMA 1,,0.0,3235.0,SABBIE (E ARGILLE),,
1006513,AMBRA 1,,0.0,1688.0,ARGILLE E SABBIE,QUATERNARIO,
549613,AMEDEA 1,,0.0,4455.0,"SABBIE E ARGILLE, ARGILLE E SABBIE",,
367025,AMELIA 15,,0.0,350.0,,,
690383,AMIRA 1,,0.0,1420.0,ARGILLE E SABBIE,,
1005158,ANDREA 1,,0.0,2006.0,SABBIE E ARGILLE,QUATERNARIO,
54953,ANDREINA 1,,0.0,308.0,,,
559476,ANDROMEDA 1,,0.0,2200.0,ARGILLE,,
391385,ANEMONE 5 DIR A,,0.0,307.0,,,
1003961,ANEMONE N.O.1D,,0.0,1490.0,SABBIE E ARGILLE,QUATERNARIO,
854865,ANGUILLA 1,,0.0,247.0,,,
1004325,ANITA 1,,0.0,1913.0,ARGILLE E SABBIE CON CIOTTOLI,QUATERNARIO,
1009734,ANNA 1,,0.0,1840.0,SABBIE E ARGILLE,QUATERNARIO,
738614,ANNABELLA 1,,0.0,397.0,,,
37595,ANNABELLA 8 DIR,,0.0,1731.0,,,
340787,ANNALISA 1,,0.0,402.0,,,
349968,ANNAMARIA 1,,0.0,305.0,,,
5535024,ANQUA,FLYSCH CALCAREO MARNOSO,0.0,635.0,"CALCARI MARNOSI,MARNE,ARENARIE CEM.",CRETACEO SUP.,
190335,ANTARES 10 DIR A,,0.0,306.0,,,
536627,ANTARES 2,,0.0,406.0,,,
6826002,ANTEGNATE 1,,0.0,770.3,SABBIE E ARGILLE,QUATERNARIO,
5240001,ANTEIE 1,LIGURIDI S.L.,0.0,220.0,"ARGILLITI,CALCARI,ARENARIE",EOCENE,CRETACEO
339139,ANTEIE 2,LIGURIDI S.L.,0.0,430.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
261162,ANTINEA 1,,0.0,1054.0,ARGILLE E SABBIE,,
745003,ANTONELLA 1,,0.0,308.0,,,
834408,ANTONELLA 9 DIR,,0.0,1868.0,,,
408714,APPARITA,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,515.0,CONGLOMERATO-ARGILLA-SABBIA,NEOGENE,
231274,ARABELLA 1,,0.0,401.0,,,
2056001,ARAGONA 1,,0.0,379.34,SABBIE,,
1008022,ARCILLE,,0.0,150.0,ARGILLE,,
455253,ARCOBALENO 1,,0.0,1944.0,ARGILLE E SABBIE,,
6918001,ARCONATE 1,,0.0,696.5,SABBIE CON ARGILLE,QUATERNARIO,
2066001,ARDIZZONE 1,,0.0,502.0,ARGILLE E SABBIE,QUATERNARIO,
6920001,ARESE 1,,0.0,535.75,SABBIE E ARGILLE,QUATERNARIO,
